CurrentDate;cumulTT;dayLength;deltaTTShoot;GAI;PAR;grainCumulTT;isLatestLeafInternodeLengthPotPositive
12/12/1992;6,801841669;9,996848678;6,801841669;0;4,416;0;false
13/12/1992;12,41668208;9,989904665;5,614840415;0;5,232;0;false
14/12/1992;17,50959524;9,983764989;5,092913152;0;5,52;0;false
15/12/1992;22,69531698;9,978435658;5,185721741;0;5,472;0;false
16/12/1992;26,53408645;9,973921945;3,838769477;0;5,52;0;false
17/12/1992;29,95339908;9,970228374;3,419312626;0;3,792;0;false
18/12/1992;34,73180407;9,9673587;4,778404987;0;3,696;0;false
19/12/1992;38,5735129;9,965315899;3,84170883;0;5,76;0;false
20/12/1992;42,54831333;9,964102156;3,974800432;0;4,32;0;false
21/12/1992;47,53355585;9,963718862;4,98524252;0;5,232;0;false
22/12/1992;52,9851286;9,964166602;5,451572748;0;5,328;0;false
23/12/1992;60,20594581;9,965445159;7,22081721;0;5,76;0;false
24/12/1992;68,60028783;9,96755351;8,394342023;0;5,136;0;false
25/12/1992;75,99528736;9,970489836;7,394999534;0;5,232;0;false
26/12/1992;82,19140907;9,974251519;6,196121709;0;4,32;0;false
27/12/1992;88,37485071;9,978835161;6,18344164;0;3,408;0;false
28/12/1992;95,31572823;9,984236587;6,940877517;0;1,056;0;false
29/12/1992;103,722906;9,990450864;8,407177785;0;1,872;0;false
30/12/1992;111,3130908;10,00529454;7,590184763;0;3,552;0;false
31/12/1992;119,2084352;10,00529454;7,895344397;0,004671989;5,76;0;false
01/01/1993;128,8386577;10,00529454;9,630222548;0,009531812;5,952;0;false
02/01/1993;136,3245257;10,01391045;7,48586797;0,010266066;3,936;0;false
03/01/1993;140,69956;10,02331224;4,375034301;0,014873844;5,664;0;false
04/01/1993;144,7244981;10,03349149;4,024938088;0,01756681;4,944;0;false
05/01/1993;150,7838784;10,04443913;6,059380322;0,020044282;3,504;0;false
06/01/1993;158,0213604;10,05614551;7,237481957;0,023774014;1,536;0;false
07/01/1993;167,0892759;10,06860038;9,067915562;0,032683793;1,824;0;false
08/01/1993;175,5018541;10,08179298;8,412578143;0,043846946;4,368;0;false
09/01/1993;182,5753887;10,09571205;7,073534673;0,05420334;3,648;0;false
10/01/1993;188,830452;10,11034582;6,255063248;0,06291129;0,768;0;false
11/01/1993;195,6654207;10,12568211;6,834968758;0,070611652;5,328;0;false
12/01/1993;201,30125;10,14170834;5,635829297;0,079025913;5,184;0;false
13/01/1993;208,073464;10,15841154;6,772213962;0,0865829;2,448;0;false
14/01/1993;215,7183009;10,17577842;7,644836886;0,09215643;3,552;0;false
15/01/1993;224,2777627;10,19379539;8,559461846;0,096862059;4,176;0;false
16/01/1993;234,3468811;10,21244858;10,06911832;0,102130667;4,32;0;false
17/01/1993;245,430387;10,2317239;11,08350591;0,108328514;3,456;0;false
18/01/1993;254,7866636;10,25160706;9,356276642;0,115150748;3,072;0;false
19/01/1993;262,3957482;10,2720836;7,609084617;0,119758006;6,336;0;false
20/01/1993;268,7968071;10,29313894;6,40105886;0,123504903;6,384;0;false
21/01/1993;276,4540046;10,31475837;7,657197487;0,12665694;6,24;0;false
22/01/1993;285,3588801;10,33692715;8,90487555;0,130427529;6,144;0;false
23/01/1993;293,9191246;10,35963046;8,560244491;0,134812506;6,768;0;false
24/01/1993;301,8745631;10,38285349;7,955438537;0,139027778;7,152;0;false
25/01/1993;312,0100068;10,40658144;10,13544363;0,142945229;7,2;0;false
26/01/1993;322,8923423;10,43079953;10,88233556;0,147936167;5,712;0;false
27/01/1993;333,4842037;10,45549308;10,59186139;0,153294893;6,048;0;false
28/01/1993;343,9408924;10,48064745;10,45668867;0,158510582;6,384;0;false
29/01/1993;353,6856777;10,50624816;9,744785301;0,163659709;6,192;0;false
30/01/1993;365,3266931;10,53228081;11,64101538;0,168458278;3,888;0;false
31/01/1993;382,0861146;10,55873117;16,75942158;0,182789073;6,192;0;false
